length,vowels,subdomain,paths,https,num_letter_ratio_path,num_letter_ratio_domain,special_char,domain_length,sensitive_keywords,suspicious_tld,rand_numstring,hyphens,domain_age,status
93,0.6486486486486487,2,0,0,1.5,0.8571428571428571,10,28,1,0,2,1,0,0
33,0.42105263157894735,1,0,1,0.0,0.9166666666666666,6,24,0,0,0,0,0,1
89,0.39622641509433965,1,1,0,51.0,0.9047619047619048,14,21,0,0,0,1,0,0
51,0.3157894736842105,1,1,0,0.6666666666666666,0.8461538461538461,11,13,0,0,1,0,0,1
77,0.6129032258064516,0,0,0,1.2,0.9565217391304348,7,23,0,0,0,0,0,0
55,0.4375,1,0,0,0.0,0.9,9,20,1,0,0,0,0,0
22,0.14285714285714285,1,0,0,0.0,0.8571428571428571,6,14,0,0,0,0,0,1
181,0.532258064516129,2,0,0,0.5882352941176471,0.8421052631578947,24,19,0,0,4,6,0,0
74,0.3902439024390244,1,1,0,7.0,0.9,12,20,0,0,0,3,0,1
54,0.3333333333333333,0,2,0,6.5,0.6666666666666666,12,9,1,0,0,0,0,0
75,0.6486486486486487,1,0,1,0.0,0.8461538461538461,14,13,0,0,0,8,0,1
26,0.3333333333333333,1,0,1,0.0,0.8823529411764706,6,17,0,0,0,0,0,1
87,0.5,2,1,1,3.0,0.9032258064516129,14,31,0,0,0,4,0,1
30,0.23076923076923078,1,0,1,0.0,0.5238095238095238,7,21,0,0,1,1,0,0
33,0.35,1,0,1,0.0,0.9166666666666666,6,24,0,0,0,0,0,1
36,0.36363636363636365,2,0,0,0.0,0.0,9,15,0,0,0,1,0,0
70,0.3488372093023256,1,0,1,19.5,0.875,10,16,0,0,0,1,0,0
46,0.46153846153846156,1,1,0,0.0,0.875,8,16,1,0,0,0,0,0
64,0.43333333333333335,1,0,0,0.0,0.8,14,15,0,0,0,0,0,1
29,0.4117647058823529,0,0,0,0.0,0.9523809523809523,5,21,0,0,0,0,0,1
25,0.38461538461538464,1,0,0,0.0,0.7777777777777778,5,18,0,0,0,0,0,1
41,0.5217391304347826,1,0,0,0.0,0.9333333333333333,6,30,0,0,0,0,0,0
58,0.3333333333333333,1,1,0,0.0,0.8888888888888888,10,18,0,0,0,2,0,1
38,0.45454545454545453,1,0,1,0.0,0.9310344827586207,6,29,0,0,0,0,0,0
21,0.2727272727272727,0,0,0,0.0,0.6666666666666666,6,6,0,0,0,0,0,1
36,0.6666666666666666,1,0,1,0.0,0.9259259259259259,6,27,0,0,0,0,0,1
34,0.3333333333333333,1,0,1,0.0,0.92,6,25,0,0,0,0,0,1
26,0.1111111111111111,1,0,1,0.0,0.8823529411764706,6,17,0,0,0,0,0,1
57,0.5,1,1,0,13.0,0.9393939393939394,8,33,0,0,0,1,0,1
15,0.14285714285714285,0,0,0,2.0,0.5,5,4,0,0,0,0,0,0
98,0.509090909090909,0,1,0,0.0,0.9375,15,16,1,0,0,1,0,0
56,0.5,1,0,0,0.0,0.7916666666666666,10,48,0,0,0,4,0,0
33,0.2777777777777778,1,0,1,0.0,0.9,10,20,0,0,0,2,0,1
26,0.25,1,0,1,0.0,0.8823529411764706,6,17,0,0,0,0,0,1
78,0.43478260869565216,1,1,0,0.0,0.8888888888888888,12,18,0,0,0,3,0,1
66,0.4722222222222222,0,1,1,0.0,0.8666666666666667,13,15,0,0,0,2,0,0
47,0.48,3,0,1,0.0,0.8421052631578947,10,38,0,0,0,2,0,0
63,0.3157894736842105,1,0,1,0.0,0.9047619047619048,13,21,0,0,0,5,0,1
85,0.4090909090909091,1,0,0,10.25,0.85,19,20,0,0,0,10,0,1
33,0.3,1,0,0,0.0,0.8461538461538461,7,13,0,0,0,0,0,1
58,0.6896551724137931,1,0,1,0.0,0.875,9,16,0,0,0,2,0,1
27,0.3333333333333333,1,0,0,0.0,0.8421052631578947,7,19,0,0,0,1,0,1
23,0.4166666666666667,1,0,1,0.0,0.8571428571428571,6,14,0,0,0,0,0,0
47,0.5,1,0,0,0.0,0.875,8,16,0,0,0,0,0,0
38,0.30434782608695654,1,1,0,0.0,0.8571428571428571,7,21,1,0,0,0,0,0
39,0.4090909090909091,1,1,0,9.0,0.9,7,20,0,0,0,0,0,0
128,0.4153846153846154,3,0,1,1.125,0.9,19,50,1,0,0,3,0,0
25,0.26666666666666666,1,0,0,0.0,0.8823529411764706,6,17,0,0,0,0,0,1
125,0.509090909090909,3,0,1,0.5454545454545454,0.9,18,50,1,0,2,3,0,0
30,0.2631578947368421,1,0,1,0.0,0.875,6,16,0,0,0,0,0,1
57,0.3333333333333333,1,1,0,0.0,0.8333333333333334,9,12,0,0,0,0,0,1
34,0.14285714285714285,1,1,0,5.0,0.8333333333333334,8,12,0,0,0,0,0,1
59,0.3939393939393939,1,0,0,27.0,0.8823529411764706,12,17,0,0,0,5,0,1
106,0.35185185185185186,1,0,0,2.6,0.8947368421052632,13,19,0,0,2,1,0,0
26,0.25,1,0,0,0.0,0.8888888888888888,6,18,0,0,0,0,0,1
34,0.4375,0,1,0,1.0,0.8823529411764706,7,17,0,0,0,1,0,1
49,0.39285714285714285,2,1,1,0.0,0.8125,10,16,0,0,0,0,0,0
20,0.5,0,0,0,0.0,0.9166666666666666,5,12,0,0,0,0,0,0
37,0.5789473684210527,1,0,1,0.0,0.8823529411764706,7,17,0,0,0,0,0,1
43,0.5555555555555556,1,1,0,2.0,0.8571428571428571,9,14,0,0,1,0,0,1
101,0.47368421052631576,1,1,1,26.0,0.9333333333333333,16,30,0,0,0,1,0,0
62,0.25,0,0,0,1.1,0.9,7,10,0,0,1,0,0,0
22,0.14285714285714285,1,0,1,0.0,0.8461538461538461,6,13,0,0,0,0,0,1
37,0.42857142857142855,1,0,0,0.0,0.896551724137931,6,29,0,0,0,0,0,1
21,0.6,0,0,0,0.0,0.9230769230769231,5,13,0,0,0,0,0,0
51,0.4827586206896552,1,0,1,0.0,0.8695652173913043,8,23,0,0,0,1,0,1
127,0.46774193548387094,3,0,1,1.125,0.9,18,50,1,0,0,3,0,0
55,0.4,3,1,0,2.3333333333333335,0.6666666666666666,11,36,0,0,1,2,0,0
127,0.5925925925925926,3,0,1,0.5454545454545454,0.9,18,50,1,0,0,3,0,0
59,0.34285714285714286,1,1,0,0.0,0.85,12,20,0,0,0,2,0,1
33,0.2857142857142857,0,0,0,0.0,0.9333333333333333,6,15,0,0,0,0,0,0
21,0.0,2,0,0,0.0,0.0,7,13,0,0,0,0,0,0
58,0.5151515151515151,1,0,0,0.0,0.9285714285714286,8,28,0,0,0,1,0,1
72,0.2857142857142857,1,0,0,1.4285714285714286,0.9130434782608695,13,23,0,0,0,0,0,0
27,0.4,1,0,0,0.0,0.8947368421052632,6,19,0,0,0,0,0,0
55,0.7142857142857143,1,0,0,1.5,0.8947368421052632,9,19,0,0,2,1,0,0
45,0.32142857142857145,1,0,1,0.0,0.92,8,25,0,0,0,1,0,1
28,0.29411764705882354,1,0,0,0.0,0.9,6,20,0,0,0,0,0,1
56,0.6153846153846154,1,0,0,3.25,0.8333333333333334,7,30,0,0,0,0,0,0
92,0.5,1,0,0,0.0,0.9230769230769231,14,26,0,0,0,1,0,0
66,0.4473684210526316,1,0,1,0.0,0.875,11,16,0,0,0,4,0,1
81,0.525,2,1,1,4.333333333333333,0.9090909090909091,14,33,0,0,0,4,0,1
129,0.2765957446808511,0,1,0,0.8363636363636363,0.7142857142857143,12,14,0,0,4,4,0,0
48,0.3793103448275862,1,1,1,0.0,0.875,8,16,0,0,0,1,0,1
165,0.5454545454545454,1,0,0,0.5882352941176471,0.8666666666666667,20,15,0,0,4,6,0,0
68,0.5806451612903226,3,0,0,0.7,0.9047619047619048,9,42,1,0,1,0,0,0
85,0.5625,2,0,0,0.45454545454545453,0.8181818181818182,11,22,0,0,1,1,0,0
30,0.5625,0,0,0,0.0,0.9545454545454546,5,22,0,0,0,0,0,1
42,0.4166666666666667,1,0,1,0.0,0.875,8,16,0,0,0,1,0,1
43,0.25925925925925924,1,0,0,0.0,0.8333333333333334,9,12,0,0,0,1,0,1
57,0.7142857142857143,1,0,1,0.0,0.875,9,16,0,0,0,2,0,1
44,0.5,1,0,0,0.0,0.9230769230769231,8,26,0,0,0,1,0,1
61,0.5625,1,1,0,0.0,0.875,11,16,0,0,0,4,0,1
36,0.375,1,0,0,0.0,0.6,6,25,0,0,1,0,0,0
49,0.6086956521739131,1,1,0,10.0,0.8666666666666667,10,15,0,0,0,0,0,0
40,0.2916666666666667,1,0,0,16.0,0.8461538461538461,8,13,0,0,0,1,0,1
25,0.2857142857142857,1,0,1,0.0,0.8461538461538461,7,13,0,0,0,0,0,1
38,0.2608695652173913,1,1,0,0.0,0.8,9,15,0,0,0,1,0,1
103,0.5192307692307693,1,0,0,8.428571428571429,0.8888888888888888,17,18,0,0,1,9,0,1
20,0.25,0,0,0,0.0,0.8461538461538461,5,13,0,0,0,1,0,1
31,0.3888888888888889,1,0,0,0.0,0.9130434782608695,6,23,0,0,0,0,0,1
127,0.543859649122807,3,0,0,0.8888888888888888,0.9,19,50,1,0,0,3,0,0
29,0.4117647058823529,1,0,0,0.0,0.9090909090909091,5,22,0,0,0,0,0,1
51,0.375,1,1,0,0.0,0.9166666666666666,7,24,0,0,0,0,0,1
24,0.2857142857142857,1,0,0,0.0,0.875,6,16,0,0,0,0,0,1
36,0.4090909090909091,1,0,0,0.0,0.9310344827586207,5,29,0,0,0,0,0,0
24,0.2,1,0,1,0.0,0.8666666666666667,6,15,0,0,0,0,0,1
380,0.3045267489711934,1,0,0,0.0,0.8125,15,32,0,0,0,2,0,0
49,0.3103448275862069,1,1,0,9.5,0.8823529411764706,9,17,0,0,0,1,0,1
85,0.5,1,0,0,16.333333333333332,0.8888888888888888,13,18,0,0,0,6,0,1
110,0.4827586206896552,1,1,0,14.4,0.8333333333333334,19,12,1,0,0,2,0,0
63,0.4857142857142857,0,0,0,0.0,0.9090909090909091,11,22,0,0,0,2,0,0
71,0.358974358974359,2,1,1,3.6666666666666665,0.896551724137931,12,29,0,0,0,2,0,1
47,0.6086956521739131,1,0,0,0.0,0.8571428571428571,10,14,0,0,0,2,0,1
27,0.5384615384615384,1,0,0,0.0,0.8421052631578947,7,19,0,0,0,1,0,1
66,0.5428571428571428,1,1,0,0.0,0.8947368421052632,12,19,1,0,0,0,0,0
38,0.3333333333333333,1,0,1,0.0,0.9310344827586207,6,29,0,0,0,0,0,1
58,0.3055555555555556,1,1,1,9.0,0.8823529411764706,8,17,0,0,0,0,0,0
41,0.32,1,0,1,0.0,0.875,8,16,0,0,0,1,0,1
39,0.47368421052631576,0,0,0,3.3333333333333335,0.9333333333333333,8,15,0,0,0,0,0,0
75,0.5405405405405406,2,0,0,3.0,0.8974358974358975,12,39,1,0,1,3,0,0
37,0.42857142857142855,0,0,0,0.0,0.9130434782608695,7,23,0,0,0,1,0,0
109,0.5454545454545454,0,0,1,12.333333333333334,0.8571428571428571,18,7,0,0,1,11,0,1
32,0.3157894736842105,2,0,1,0.0,0.8695652173913043,7,23,0,0,0,0,0,1
29,0.29411764705882354,0,1,0,0.0,0.9,7,10,0,0,0,0,0,0
75,0.4,1,1,1,6.333333333333333,0.8666666666666667,13,15,0,0,1,4,0,1
78,0.45454545454545453,1,0,1,0.0,0.8823529411764706,14,17,0,0,0,7,0,1
44,0.38461538461538464,1,1,0,0.0,0.875,8,16,0,0,0,1,0,1
29,0.4117647058823529,0,0,1,0.0,0.8333333333333334,5,6,0,0,0,0,0,1
89,0.3076923076923077,2,1,0,0.0,0.8,16,15,0,0,0,0,0,0
67,0.7647058823529411,1,0,1,0.0,0.9444444444444444,7,54,0,0,0,1,0,0
46,0.4444444444444444,1,0,0,0.0,0.92,7,25,0,0,0,0,0,1
46,0.2857142857142857,0,0,1,19.0,0.9230769230769231,9,13,0,0,0,1,0,1
61,0.5,1,0,0,1.5,0.92,9,25,0,0,2,1,0,0
25,0.3333333333333333,1,0,1,0.0,0.8823529411764706,5,17,0,0,0,0,0,1
52,0.3333333333333333,0,1,0,0.0,0.5555555555555556,9,9,0,0,0,0,0,0
51,0.3870967741935484,1,0,0,0.0,0.9230769230769231,8,26,0,0,0,0,0,0
106,0.4915254237288136,1,1,0,62.0,0.88,17,25,0,0,0,7,0,1
24,0.2,1,0,0,0.0,0.875,6,16,0,0,0,0,0,1
34,0.2631578947368421,3,0,0,0.0,0.7692307692307693,8,26,0,0,0,0,0,0
57,0.4838709677419355,4,0,0,0.0,0.8571428571428571,11,49,0,0,0,2,0,0
30,0.5333333333333333,1,0,1,0.0,0.8571428571428571,7,21,0,0,0,1,0,1
49,0.4444444444444444,1,1,1,0.0,0.8636363636363636,10,22,0,0,0,1,0,0
51,0.4642857142857143,1,1,0,0.0,0.8571428571428571,10,28,0,0,0,3,0,1
61,0.3333333333333333,2,1,0,0.0,0.0,12,12,1,0,0,0,0,0
27,0.23529411764705882,1,0,1,0.0,0.8888888888888888,6,18,0,0,0,0,0,1
47,0.5833333333333334,0,1,0,0.0,0.9230769230769231,9,13,0,0,0,0,0,0
43,0.20689655172413793,1,0,1,0.0,0.8666666666666667,8,15,0,0,0,0,0,1
34,0.2727272727272727,1,0,0,0.0,0.9230769230769231,6,26,0,0,0,0,0,1
84,0.4418604651162791,1,1,0,3.75,0.9333333333333333,14,30,0,0,0,5,0,1
77,0.3111111111111111,7,0,0,0.0,0.7966101694915254,14,59,1,0,0,0,0,0
127,0.5370370370370371,3,0,1,0.4166666666666667,0.9,18,50,1,0,2,3,0,0
88,0.5428571428571428,1,0,0,1.3478260869565217,0.9047619047619048,11,21,0,0,1,1,0,0
45,0.6,0,0,0,0.0,0.9705882352941176,5,34,0,0,0,0,0,0
35,0.5882352941176471,2,0,0,0.0,0.8214285714285714,6,28,0,0,0,0,0,0
35,0.6470588235294118,1,0,1,0.0,0.8846153846153846,7,26,0,0,0,1,0,0
36,0.6470588235294118,1,0,0,0.0,0.8,8,15,1,0,0,1,0,0
42,0.5555555555555556,1,1,0,2.4,0.8571428571428571,9,14,0,0,1,0,0,1
31,0.625,1,0,0,0.0,0.9166666666666666,5,24,0,0,0,0,0,1
26,0.26666666666666666,1,0,0,0.0,0.8666666666666667,7,15,0,0,0,0,0,0
35,0.3333333333333333,1,0,0,0.0,0.9090909090909091,7,22,0,0,0,0,0,1
66,0.5588235294117647,0,1,0,0.0,0.9166666666666666,13,12,1,0,0,1,0,0
29,0.375,1,0,1,0.0,0.8823529411764706,7,17,0,0,0,0,0,1
150,0.5853658536585366,3,0,0,0.0,0.9,12,40,0,0,5,0,0,0
21,0.875,1,0,0,0.0,0.7857142857142857,6,14,0,0,0,1,0,1
38,0.5,1,0,0,0.0,0.9354838709677419,5,31,0,0,0,0,0,0
359,0.6198830409356725,3,1,0,0.0,0.8260869565217391,75,23,0,0,0,11,0,0
20,0.6666666666666666,1,0,0,0.0,0.8461538461538461,5,13,0,0,0,0,0,0
43,0.4583333333333333,1,0,0,0.0,0.9047619047619048,8,21,1,0,0,2,0,0
117,0.6666666666666666,3,0,0,0.8888888888888888,0.9047619047619048,18,42,1,0,2,2,0,0
21,0.25,1,0,1,0.0,0.8333333333333334,6,12,0,0,0,0,0,1
74,0.4411764705882353,1,0,0,0.8823529411764706,0.8823529411764706,8,17,0,0,2,0,0,0
69,0.42857142857142855,1,1,0,5.142857142857143,0.8333333333333334,12,12,0,0,1,5,0,1
68,0.25,2,0,0,0.0,0.8,10,20,0,0,0,1,0,0
71,0.5526315789473685,0,1,0,0.0,0.9090909090909091,12,11,0,0,0,1,0,0
29,0.25,1,0,0,0.0,0.7619047619047619,7,21,0,0,0,1,0,0
32,0.3,1,0,1,0.0,0.9130434782608695,6,23,0,0,0,0,0,1
33,0.16666666666666666,0,0,1,0.0,0.9583333333333334,5,24,0,0,0,0,0,0
41,0.5,1,0,0,0.0,0.9411764705882353,5,34,0,0,0,0,0,0
36,0.5,0,0,0,0.0,0.9285714285714286,6,14,0,0,0,0,0,0
32,0.35,0,0,0,0.0,0.9523809523809523,5,21,0,0,0,0,0,1
43,0.4583333333333333,1,0,0,0.0,0.8823529411764706,8,17,0,0,0,1,0,1
31,0.3333333333333333,1,1,0,0.0,0.8571428571428571,7,14,0,0,0,0,0,0
33,0.3333333333333333,2,1,0,7.0,0.8125,8,16,0,0,0,0,0,0
94,0.5490196078431373,1,1,1,0.0,0.9090909090909091,15,22,0,0,0,1,0,0
27,0.3333333333333333,2,0,1,0.0,0.8333333333333334,7,18,0,0,0,0,0,1
49,0.5185185185185185,1,1,0,0.0,0.8571428571428571,8,14,0,0,0,0,0,0
75,0.5405405405405406,2,0,0,3.0,0.8974358974358975,12,39,1,0,1,3,0,0
59,0.5,1,0,0,0.0,0.8947368421052632,8,19,0,0,0,1,0,1
171,0.3972602739726027,0,1,0,1.7083333333333333,0.96,17,25,1,0,2,1,0,0
73,0.5,1,0,0,0.0,0.92,13,25,1,0,0,1,0,0
46,0.37037037037037035,1,1,1,0.0,0.9,9,20,0,0,0,0,0,1
42,0.4583333333333333,1,0,0,0.0,0.9285714285714286,7,28,0,0,0,0,0,0
47,0.6086956521739131,0,1,0,0.0,0.8571428571428571,10,7,0,0,0,0,0,0
55,0.45161290322580644,1,1,0,0.0,0.8461538461538461,10,13,0,0,0,1,0,0
22,0.16666666666666666,0,0,1,1.3333333333333333,0.8333333333333334,5,6,0,0,0,0,0,0
140,0.6739130434782609,1,0,0,0.0,0.9230769230769231,27,26,0,0,1,8,0,0
50,0.64,1,0,0,0.0,0.8666666666666667,9,15,0,0,0,2,0,1
52,0.34375,1,1,0,0.0,0.9166666666666666,9,24,0,0,0,1,0,1
15,0.375,0,0,0,0.0,0.875,4,8,0,0,0,0,0,1
42,0.32,0,1,0,0.0,0.875,9,8,0,0,0,0,0,1
43,0.5555555555555556,1,1,0,2.0,0.8571428571428571,9,14,0,0,1,0,0,1
44,0.43478260869565216,1,1,0,19.0,0.8333333333333334,10,12,0,0,0,1,0,0
63,0.41935483870967744,1,1,0,4.333333333333333,0.875,13,16,0,0,0,4,0,1
34,0.5,1,0,1,0.0,0.7391304347826086,8,23,1,0,0,2,0,0
24,0.2857142857142857,1,0,0,0.0,0.875,6,16,0,0,0,0,0,1
25,0.5,0,0,1,0.0,0.8571428571428571,7,7,1,0,0,0,0,1
57,0.5,1,1,0,0.0,0.9230769230769231,9,26,0,0,0,2,0,1
78,0.6,0,0,0,44.0,0.8888888888888888,13,18,2,0,0,6,0,0
27,0.4,1,0,1,0.0,0.8888888888888888,6,18,0,0,0,0,0,1
58,0.42424242424242425,2,1,1,0.0,0.88,11,25,0,0,0,0,0,0
27,0.5,1,0,1,0.0,0.8888888888888888,6,18,0,0,0,0,0,1
33,0.26666666666666666,1,0,0,0.0,0.8333333333333334,7,12,0,0,1,0,0,1
33,0.15,2,0,0,0.0,0.7857142857142857,10,14,0,0,0,0,0,0
128,0.2826086956521739,0,1,0,0.8181818181818182,0.7142857142857143,12,14,0,0,4,4,0,0
28,0.375,1,0,0,0.0,0.9,6,20,0,0,0,0,0,1
135,0.5,1,0,0,43.5,0.8947368421052632,25,19,0,0,0,11,0,1
132,0.38271604938271603,1,1,1,0.0,0.875,12,16,0,0,0,2,0,0
54,0.5333333333333333,1,1,0,0.0,0.9230769230769231,8,26,1,0,0,0,0,0
70,0.5945945945945946,0,1,1,0.0,0.9523809523809523,11,21,1,0,0,3,0,0
50,0.55,1,0,0,1.5,0.8571428571428571,9,14,0,0,2,1,0,0
54,0.5357142857142857,0,2,0,28.0,0.9166666666666666,10,12,1,0,0,0,0,0
128,0.5,3,0,1,1.4285714285714286,0.9,19,50,1,0,0,3,0,0
43,0.5555555555555556,1,1,0,2.0,0.8571428571428571,9,14,0,0,1,0,0,1
32,0.3,1,0,1,0.0,0.9130434782608695,6,23,0,0,0,0,0,1
190,0.2631578947368421,1,2,0,10.0,0.8461538461538461,31,13,0,0,0,11,0,0
21,0.25,1,0,1,0.0,0.8333333333333334,6,12,0,0,0,0,0,1
18,0.5555555555555556,0,0,0,0.0,0.9090909090909091,4,11,0,0,0,0,0,0
139,0.38461538461538464,1,0,1,10.714285714285714,0.8888888888888888,21,27,0,0,0,7,0,0
63,0.59375,0,1,0,0.0,0.9444444444444444,12,18,0,0,0,0,0,0
145,0.2828282828282828,1,1,1,11.625,0.90625,10,32,1,0,0,3,0,0
51,0.5357142857142857,1,0,0,0.0,0.9285714285714286,8,28,0,0,0,0,0,0
35,0.47368421052631576,2,0,0,0.0,0.8888888888888888,7,27,0,0,0,0,0,0
42,0.5,0,1,0,0.0,0.9090909090909091,9,11,0,0,0,1,0,0
71,0.6551724137931034,0,1,1,3.4,0.92,11,25,0,0,2,2,0,0
41,0.2222222222222222,1,1,0,0.0,0.8947368421052632,8,19,0,0,0,0,0,1
64,0.5172413793103449,1,0,1,2.75,0.8181818181818182,12,11,0,0,1,1,0,0
32,0.3333333333333333,1,0,0,0.0,0.8,5,25,0,0,0,0,0,1
78,0.5454545454545454,1,1,0,0.0,0.9459459459459459,10,37,1,0,0,0,0,0
54,0.41935483870967744,1,1,0,0.0,0.8888888888888888,10,18,0,0,0,2,0,1
38,0.2727272727272727,1,0,1,0.0,0.7931034482758621,7,29,0,0,0,1,0,0
34,0.35,1,0,1,0.0,0.88,7,25,0,0,0,1,0,1
39,0.391304347826087,1,0,1,0.0,0.92,7,25,0,0,0,0,0,1
27,0.3333333333333333,1,0,0,0.0,0.8421052631578947,7,19,0,0,0,1,0,1
24,0.2857142857142857,1,0,1,0.0,0.8666666666666667,6,15,0,0,0,0,0,1
53,0.5,1,1,1,0.0,0.9,8,20,1,0,0,0,0,0
36,0.30434782608695654,1,0,0,0.0,0.896551724137931,6,29,0,0,0,1,0,1
42,0.3076923076923077,1,1,0,0.0,0.9047619047619048,8,21,0,0,0,0,0,0
63,0.3157894736842105,1,1,1,14.5,0.8888888888888888,11,18,0,0,0,0,0,0
26,0.3125,1,0,0,0.0,0.8947368421052632,5,19,0,0,0,0,0,1
46,0.391304347826087,1,1,0,11.0,0.6428571428571429,10,14,0,0,0,1,0,1
70,0.48717948717948717,1,0,1,0.0,0.8888888888888888,12,18,0,0,0,4,0,1
28,0.375,1,0,1,0.0,0.8947368421052632,6,19,0,0,0,0,0,1
28,0.29411764705882354,1,0,1,0.0,0.8947368421052632,6,19,0,0,0,0,0,1
30,0.4117647058823529,1,0,1,0.0,0.9047619047619048,6,21,0,0,0,0,0,1
34,0.3333333333333333,1,0,1,0.0,0.92,6,25,0,0,0,0,0,1
40,0.5,0,0,1,0.0,0.9333333333333333,7,15,0,0,0,0,0,1
24,0.2,0,1,0,0.0,0.875,6,8,0,0,0,0,0,0
61,0.48484848484848486,1,0,0,0.0,0.875,12,16,0,0,0,4,0,1
51,0.6956521739130435,1,0,0,5.333333333333333,0.9047619047619048,9,21,0,0,0,0,0,0
114,0.4423076923076923,1,1,0,2.0,0.8846153846153846,15,26,0,0,1,2,0,0
72,0.5142857142857142,1,0,1,6.8,0.875,14,16,0,0,0,5,0,1
21,0.23076923076923078,1,0,0,0.0,0.8571428571428571,5,14,0,0,0,0,0,1
50,0.36666666666666664,0,2,0,22.0,0.9375,8,16,0,0,0,0,0,0
115,0.34328358208955223,1,0,1,6.888888888888889,0.8666666666666667,15,15,0,0,0,1,0,0
157,0.43103448275862066,1,1,0,1.0526315789473684,0.9047619047619048,17,21,0,0,4,5,0,0
57,0.5517241379310345,1,2,0,0.0,0.8333333333333334,12,12,0,0,0,0,0,0
39,0.43478260869565216,1,0,0,0.0,0.9354838709677419,6,31,0,0,0,0,0,1
32,0.3684210526315789,1,0,1,0.0,0.9130434782608695,6,23,0,0,0,0,0,1
35,0.42857142857142855,1,0,1,0.0,0.9259259259259259,5,27,0,0,0,0,0,0
42,0.5454545454545454,1,1,0,0.0,0.8333333333333334,8,12,0,0,0,0,0,0
66,0.6538461538461539,1,0,1,0.0,0.8823529411764706,9,17,0,0,1,0,0,1
63,0.53125,0,0,1,10.666666666666666,0.9230769230769231,11,13,0,0,0,6,0,1
76,0.4666666666666667,1,1,1,0.9230769230769231,0.9310344827586207,19,29,1,0,0,0,0,0
20,0.36363636363636365,1,0,0,0.0,0.8461538461538461,5,13,1,0,0,0,0,0
130,0.6046511627906976,7,0,0,0.0,0.5327868852459017,13,122,2,0,4,1,0,0
43,0.6190476190476191,0,0,0,0.0,0.9,9,10,1,0,0,1,0,0
29,0.45454545454545453,2,0,0,0.0,0.5714285714285714,7,21,0,0,1,0,0,0
22,0.5454545454545454,1,0,0,0.0,0.8666666666666667,5,15,0,0,0,0,0,1
56,0.5,1,0,1,0.0,0.8461538461538461,11,13,0,0,0,5,0,1
50,0.43333333333333335,0,0,0,0.0,0.9,7,20,0,0,0,1,0,0
131,0.39344262295081966,1,1,0,0.0,0.8666666666666667,18,15,0,0,2,1,0,0
181,0.4270833333333333,0,1,0,0.0,0.9642857142857143,21,28,0,0,3,1,0,0
28,0.375,1,0,1,0.0,0.8947368421052632,6,19,0,0,0,0,0,1
56,0.375,1,0,0,0.0,0.7272727272727273,12,11,0,0,0,1,0,0
